houseid,personid,trpmiles,trippurp
30489032,01,28.417,HBO
40206432,01,4.688,HBW
40419864,01,10.187,HBW
30129307,01,30.907,NHB
40412907,01,62.227,HBW
40559550,01,5.366,NHB
30391010,02,4.925,HBW
40648763,01,8.411,NHB
40359016,02,1.821,HBO
40614411,01,25.035,HBO
30349664,01,5.065,NHB
40380053,03,1.251,HBSOCREC
30405242,01,0.401,NHB
40332345,01,4.019,HBO
30498621,02,9.289,HBO
40488731,01,13.057,NHB
30114559,01,8.887,HBSHOP
40009836,02,9.809,HBW
40318072,01,0.493,NHB
40253439,01,0.517,NHB
40709838,02,0.974,NHB
40369907,05,8.047,HBSHOP
40741532,02,0.774,NHB
30094884,02,0.419,NHB
40734674,01,1.426,HBSHOP
40322175,01,3.491,HBSHOP
30420231,01,1.582,HBO
40347987,04,2.065,HBSHOP
30001426,01,1.616,HBW
30054896,01,0.548,NHB
30019983,02,5.865,HBW
30030062,01,4.298,NHB
30084165,04,4.008,HBO
30295099,03,3.282,HBSOCREC
30214072,01,14.046,HBW
30018314,01,0.859,NHB
30527712,02,1.318,NHB
30248647,03,19.938,HBSOCREC
30188751,02,2.838,HBO
40730737,02,2.338,NHB
30251229,02,0.968,HBW
30429070,01,1.081,HBSOCREC
30541872,03,19.024,HBSOCREC
40189415,04,8.626,HBSOCREC
30396549,02,11.196,HBO
40571977,01,25.19,HBW
40487168,02,4.687,NHB
30175096,02,0.429,HBO
30455042,05,0.997,NHB
40485598,04,0.698,HBO
40496327,03,1.211,NHB
30390239,01,20.459,NHB
40053424,03,2.645,HBSHOP
30346956,01,0.353,NHB
30444396,01,1.344,NHB
40281900,01,11.288,NHB
30500051,04,0.234,HBO
30313837,03,0.265,HBSOCREC
40057948,01,0.351,HBSHOP
30034859,02,3,HBO
40710072,01,23.283,HBO
40113684,02,129.02,HBSHOP
30435812,02,1.091,HBO
40699734,01,0.393,HBO
30081880,01,1.177,HBSHOP
